"LANGUAGE","NAME","VERSION","LICENSES","COPYRIGHTS","URL"
"nodejs","@angular/animations","11.2.14","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fanimations"
"nodejs","@angular/common","11.2.14","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fcommon"
"nodejs","@angular/compiler","11.2.14","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fcompiler"
"nodejs","@angular/core","11.2.14","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fcore"
"nodejs","@angular/forms","11.2.14","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fforms"
"nodejs","@angular/platform-browser","11.2.14","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fplatform-browser"
"nodejs","@angular/platform-browser-dynamic","11.2.14","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fplatform-browser-dynamic"
"nodejs","@angular/router","11.2.14","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Frouter"
"nodejs","@asymmetrik/ngx-leaflet","8.1.0","MIT","Copyright (c) 2007-2024 BlueHalo, LLC","https://www.npmjs.com/package/%40asymmetrik%2Fngx-leaflet"
"nodejs","@nebular/security","7.0.0","MIT","Copyright (c) 2017 Akveo.","https://www.npmjs.com/package/%40nebular%2Fsecurity"
"nodejs","@ng-bootstrap/ng-bootstrap","9.1.3","MIT","Copyright (c) 2015-2018 Angular ng-bootstrap team","https://www.npmjs.com/package/%40ng-bootstrap%2Fng-bootstrap"
"nodejs","@ng-select/ng-select","6.1.0","MIT","Copyright (c) Andžej Maciusovič","https://www.npmjs.com/package/%40ng-select%2Fng-select"
"nodejs","@ngneat/until-destroy","8.1.4","MIT","Copyright (c) 2019 Netanel Basal","https://www.npmjs.com/package/%40ngneat%2Funtil-destroy"
"nodejs","@ngx-translate/core","13.0.0","MIT","Copyright (c) 2018 Olivier CombeCopyright (c) 2024 Andreas Löw / CodeAndWeb GmbH","https://www.npmjs.com/package/%40ngx-translate%2Fcore"
"nodejs","@swimlane/ngx-datatable","20.0.0","MIT","Copyright (c) 2019 Swimlane <info@swimlane.com>","https://www.npmjs.com/package/%40swimlane%2Fngx-datatable"
"nodejs","@types/geojson","7946.0.8","MIT","Copyrights are respective of each contributor listed at the beginning of each definition file","https://www.npmjs.com/package/%40types%2Fgeojson"
"nodejs","@types/leaflet","1.7.8","MIT","Copyrights are respective of each contributor listed at the beginning of each definition file","https://www.npmjs.com/package/%40types%2Fleaflet"
"nodejs","bootstrap","4.6.0","MIT","Copyright (c) 2011-2025 The Bootstrap Authors","https://www.npmjs.com/package/bootstrap"
"nodejs","bootstrap-italia","1.4.3","BSD-3-Clause","Copyright (c) 2022, the respective contributors, as shown by the AUTHORS file.","https://www.npmjs.com/package/bootstrap-italia"
