"LANGUAGE","NAME","VERSION","LICENSES","COPYRIGHTS","URL"
"nodejs","@angular/animations","9.1.12","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fanimations"
"nodejs","@angular/cdk","9.2.4","MIT","Copyright (c) 2025 Google LLC.","https://www.npmjs.com/package/%40angular%2Fcdk"
"nodejs","@angular/common","9.1.12","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fcommon"
"nodejs","@angular/compiler","9.1.12","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fcompiler"
"nodejs","@angular/core","9.1.12","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fcore"
"nodejs","@angular/elements","9.1.12","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Felements"
"nodejs","@angular/forms","9.1.12","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fforms"
"nodejs","@angular/localize","9.1.12","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Flocalize"
"nodejs","@angular/platform-browser","9.1.12","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fplatform-browser"
"nodejs","@angular/platform-browser-dynamic","9.1.12","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fplatform-browser-dynamic"
"nodejs","@angular/router","9.1.12","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Frouter"
"nodejs","@babel/core","7.7.7","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors","https://www.npmjs.com/package/%40babel%2Fcore"
"nodejs","@babel/core","7.8.3","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors","https://www.npmjs.com/package/%40babel%2Fcore"
"nodejs","@babel/runtime","7.21.0","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors","https://www.npmjs.com/package/%40babel%2Fruntime"
"nodejs","@formio/bootstrap3","2.12.2","MIT","Copyright (c) 2020 Form.io","https://www.npmjs.com/package/%40formio%2Fbootstrap3"
"nodejs","@formio/choices.js","9.0.1","MIT","Copyright (c) 2016 Josh Johnson","https://www.npmjs.com/package/%40formio%2Fchoices.js"
"nodejs","@formio/semantic","2.6.0","MIT","Copyright (c) 2020 Form.io","https://www.npmjs.com/package/%40formio%2Fsemantic"
"nodejs","@formio/text-mask-addons","3.8.0-formio.2","Unlicense","","https://www.npmjs.com/package/%40formio%2Ftext-mask-addons"
"nodejs","@formio/vanilla-text-mask","5.1.1-formio.1","Unlicense","","https://www.npmjs.com/package/%40formio%2Fvanilla-text-mask"
"nodejs","@ng-bootstrap/ng-bootstrap","6.0.0","MIT","Copyright (c) 2015-2018 Angular ng-bootstrap team","https://www.npmjs.com/package/%40ng-bootstrap%2Fng-bootstrap"
"nodejs","@popperjs/core","2.11.6","MIT","Copyright (c) 2021 Floating UI contributors","https://www.npmjs.com/package/%40popperjs%2Fcore"
"nodejs","@sphinxxxx/color-conversion","2.2.2","ISC","Copyright 2017Released under the license./;","https://www.npmjs.com/package/%40sphinxxxx%2Fcolor-conversion"
"nodejs","@swimlane/ngx-datatable","18.0.0","MIT","Copyright (c) 2019 Swimlane <info@swimlane.com>","https://www.npmjs.com/package/%40swimlane%2Fngx-datatable"
"nodejs","angular-formio","4.11.5","MIT","Copyright (c) 2017 Form.io","https://www.npmjs.com/package/angular-formio"
"nodejs","angular2-text-mask","9.0.0","Unlicense","","https://www.npmjs.com/package/angular2-text-mask"
"nodejs","ansi-regex","5.0.0","MIT","Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)","https://www.npmjs.com/package/ansi-regex"
"nodejs","ansi-styles","4.3.0","MIT","Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)","https://www.npmjs.com/package/ansi-styles"
"nodejs","atoa","1.0.0","MIT","Copyright Copyright 2015 Nicolas Bevacqua","https://www.npmjs.com/package/atoa"
"nodejs","autocompleter","6.1.3","MIT","Copyright (c) 2016 Denis Taran","https://www.npmjs.com/package/autocompleter"
"nodejs","browser-cookies","1.2.0","Unlicense","","https://www.npmjs.com/package/browser-cookies"
"nodejs","browser-md5-file","1.1.1","MIT","Copyright (c) 2016 forsigner","https://www.npmjs.com/package/browser-md5-file"
"nodejs","cliui","6.0.0","ISC","Copyright (c) 2015, Contributors","https://www.npmjs.com/package/cliui"
"nodejs","clone","1.0.4","MIT","Copyright Copyright 2011-2015 Paul Vorbach <paul@vorba.ch>","https://www.npmjs.com/package/clone"
"nodejs","color-convert","2.0.1","MIT","Copyright (c) 2011-2016 Heather Arthur <fayearthur@gmail.com>.Copyright (c) 2016-2021 Josh Junon <josh@junon.me>.","https://www.npmjs.com/package/color-convert"
"nodejs","color-name","1.1.4","MIT","Copyright (c) 2015 Dmitry Ivanov","https://www.npmjs.com/package/color-name"
"nodejs","compare-versions","3.6.0","MIT","Copyright (c) 2015-2021 Ole Michelsen","https://www.npmjs.com/package/compare-versions"
"nodejs","compare-versions","4.1.4","MIT","Copyright (c) 2015-2021 Ole Michelsen","https://www.npmjs.com/package/compare-versions"
"nodejs","contra","1.9.4","MIT","Copyright Copyright 2014 Nicolas Bevacqua","https://www.npmjs.com/package/contra"
"nodejs","core-js","2.6.11","MIT","Copyright (c) 2014-2025 Denis Pushkarev","https://www.npmjs.com/package/core-js"
"nodejs","core-js","3.29.1","MIT","Copyright (c) 2014-2025 Denis Pushkarev","https://www.npmjs.com/package/core-js"
"nodejs","core-js","3.6.4","MIT","Copyright (c) 2014-2025 Denis Pushkarev","https://www.npmjs.com/package/core-js"
"nodejs","crossvent","1.5.5","MIT","Copyright Copyright 2014 Nicolas Bevacqua","https://www.npmjs.com/package/crossvent"
"nodejs","crypto-js","4.0.0","MIT","Copyright (c) 2009-2013 Jeff Mott  Copyright (c) 2013-2016 Evan Vosberg","https://www.npmjs.com/package/crypto-js"
"nodejs","custom-event","1.0.1","MIT","Copyright (c) 2015 Nathan Rajlich","https://www.npmjs.com/package/custom-event"
"nodejs","custom-event-polyfill","1.0.7","MIT","Copyright (c) 2016 Evan Krambuhl","https://www.npmjs.com/package/custom-event-polyfill"
"nodejs","deep-equal","1.1.1","MIT","Copyright (c) 2012, 2013, 2014 James Halliday <mail@substack.net>, 2009 Thomas Robinson <280north.com>","https://www.npmjs.com/package/deep-equal"
"nodejs","deepmerge","4.3.0","MIT","Copyright (c) 2012 James Halliday, Josh Duff, and other contributors","https://www.npmjs.com/package/deepmerge"
"nodejs","dialog-polyfill","0.5.6","BSD-3-Clause","Copyright 2015 Google Inc. All rights reserved.","https://www.npmjs.com/package/dialog-polyfill"
"nodejs","dompurify","2.4.5","MPL-2.0,Apache-2.0","Copyright 2025 Dr.-Ing. Mario Heiderich, Cure53","https://www.npmjs.com/package/dompurify"
"nodejs","downloadjs","1.4.7","MIT","Copyright (c) 2016 dandavis","https://www.npmjs.com/package/downloadjs"
"nodejs","dragula","3.7.3","MIT","Copyright Copyright 2015-2016 Nicolas Bevacqua","https://www.npmjs.com/package/dragula"
"nodejs","emoji-regex","8.0.0","MIT","Copyright Mathias Bynens","https://www.npmjs.com/package/emoji-regex"
"nodejs","eventemitter3","4.0.7","MIT","Copyright (c) 2014 Arnout Kazemier","https://www.npmjs.com/package/eventemitter3"
"nodejs","extend","3.0.2","MIT","Copyright (c) 2014 Stefan Thomas","https://www.npmjs.com/package/extend"
"nodejs","fast-deep-equal","2.0.1","MIT","Copyright (c) 2017 Evgeny Poberezkin","https://www.npmjs.com/package/fast-deep-equal"
